time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.UTM_easting,.UTM_northing,.RTK,.Zone,.Letter
2022/10/06/20:04:29.090261,0,269,0,GPS1_Frame,42.33873983333333,-71.08821116666667,10.4,327975.9509903052,4689499.05943115,2,19,T
2022/10/06/20:04:30.089687,0,270,0,GPS1_Frame,42.33873583333334,-71.0882185,10.2,327975.3359469389,4689498.630097867,2,19,T
2022/10/06/20:04:31.089328,0,271,0,GPS1_Frame,42.33873216666666,-71.08822566666666,10.1,327974.7355428443,4689498.237441574,2,19,T
2022/10/06/20:04:32.091654,0,272,0,GPS1_Frame,42.33872916666666,-71.088233,10.0,327974.1232263219,4689497.919150791,2,19,T
2022/10/06/20:04:33.091398,0,273,0,GPS1_Frame,42.338727500000005,-71.0882395,10.2,327973.5831975207,4689497.747230629,5,19,T
2022/10/06/20:04:34.089623,0,274,0,GPS1_Frame,42.338725000000004,-71.08824533333333,10.0,327973.09581759735,4689497.4814264,2,19,T
2022/10/06/20:04:35.092329,0,275,0,GPS1_Frame,42.338722499999996,-71.08825166666666,9.9,327972.5672465754,4689497.2166337855,5,19,T
2022/10/06/20:04:36.093281,0,276,0,GPS1_Frame,42.33872016666666,-71.08825833333334,10.0,327972.0116693014,4689496.971022669,5,19,T
2022/10/06/20:04:37.088791,0,277,0,GPS1_Frame,42.33871716666666,-71.08826583333332,9.8,327971.38562218257,4689496.6530693155,2,19,T
2022/10/06/20:04:38.092289,0,278,0,GPS1_Frame,42.33871366666667,-71.088273,9.7,327970.78567219584,4689496.27892042,2,19,T
2022/10/06/20:04:39.086461,0,279,0,GPS1_Frame,42.33871033333333,-71.08827966666666,9.4,327970.2273677259,4689495.922267042,2,19,T
2022/10/06/20:04:40.094219,0,280,0,GPS1_Frame,42.33870766666667,-71.08828633333333,9.0,327969.6708812401,4689495.639641974,2,19,T
2022/10/06/20:04:41.092287,0,281,0,GPS1_Frame,42.33870433333333,-71.08829300000001,8.6,327969.11257666035,4689495.282988681,2,19,T
2022/10/06/20:04:42.092108,0,282,0,GPS1_Frame,42.33870033333333,-71.08829883333333,7.9,327968.621105773,4689494.850621153,2,19,T
2022/10/06/20:04:43.093251,0,283,0,GPS1_Frame,42.33869616666666,-71.08830533333334,7.2,327968.0742588638,4689494.401095404,2,19,T
2022/10/06/20:04:44.091949,0,284,0,GPS1_Frame,42.33869166666667,-71.08831266666667,6.6,327967.45785104414,4689493.916241588,2,19,T
2022/10/06/20:04:45.093877,0,285,0,GPS1_Frame,42.33869249999999,-71.088319,7.8,327966.93836987304,4689494.021590718,5,19,T
2022/10/06/20:04:46.086107,0,286,0,GPS1_Frame,42.338689499999994,-71.08832466666667,7.5,327966.46335623565,4689493.6999285305,2,19,T
2022/10/06/20:04:47.094325,0,287,0,GPS1_Frame,42.33868733333334,-71.0883305,8.0,327965.9768847888,4689493.471138914,5,19,T
2022/10/06/20:04:48.093188,0,288,0,GPS1_Frame,42.33868399999999,-71.08833616666668,7.6,327965.5009620241,4689493.112462655,2,19,T
2022/10/06/20:04:49.093527,0,289,0,GPS1_Frame,42.33868033333333,-71.08834283333334,7.4,327964.94174797845,4689492.718795551,2,19,T
