time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.UTM_easting,.UTM_northing,.RTK,.Zone,.Letter
2022/10/06/18:47:30.031049,0,82050,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:47:31.054747,0,82051,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:47:32.030097,0,82052,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:47:33.052856,0,82053,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:47:34.030736,0,82054,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:47:35.049291,0,82055,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:47:36.026222,0,82056,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:47:37.051831,0,82057,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:47:38.027017,0,82058,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:47:39.052069,0,82059,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:47:40.027951,0,82060,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:47:41.051816,0,82061,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:47:42.030277,0,82062,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:47:43.052530,0,82063,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:47:44.028286,0,82064,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:47:45.050201,0,82065,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:47:46.027441,0,82066,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:47:47.051368,0,82067,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:47:48.027535,0,82068,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:47:49.050784,0,82069,0,GPS1_Frame,42.338264166666676,-71.08651016666666,27.4,328114.7868866741,4689442.800328799,4,19,T
2022/10/06/18:47:50.029128,0,82070,0,GPS1_Frame,42.338264166666676,-71.08651,27.4,328114.80061712745,4689442.799991886,4,19,T
2022/10/06/18:47:51.051852,0,82071,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:47:52.029623,0,82072,0,GPS1_Frame,42.338264166666676,-71.08651,27.4,328114.80061712745,4689442.799991886,4,19,T
2022/10/06/18:47:53.048791,0,82073,0,GPS1_Frame,42.338264166666676,-71.08651016666666,27.4,328114.7868866741,4689442.800328799,4,19,T
2022/10/06/18:47:54.026100,0,82074,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:47:55.052539,0,82075,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:47:56.028315,0,82076,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:47:57.052074,0,82077,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:47:58.028684,0,82078,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:47:59.053238,0,82079,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:48:00.026463,0,82080,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:48:01.050599,0,82081,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:02.027416,0,82082,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:03.050448,0,82083,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:04.027722,0,82084,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:05.050172,0,82085,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:48:06.029134,0,82086,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:07.049394,0,82087,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:08.027471,0,82088,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:09.054828,0,82089,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:48:10.027187,0,82090,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:48:11.044760,0,82091,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:12.024834,0,82092,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:13.051370,0,82093,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:14.027373,0,82094,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:15.051733,0,82095,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:16.027219,0,82096,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:17.050836,0,82097,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:18.027989,0,82098,0,GPS1_Frame,42.338264166666676,-71.08651,27.4,328114.80061712745,4689442.799991886,4,19,T
2022/10/06/18:48:19.051268,0,82099,0,GPS1_Frame,42.338264166666676,-71.08651,27.4,328114.80061712745,4689442.799991886,4,19,T
2022/10/06/18:48:20.026269,0,82100,0,GPS1_Frame,42.338264166666676,-71.08651,27.4,328114.80061712745,4689442.799991886,4,19,T
2022/10/06/18:48:21.049765,0,82101,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:22.027068,0,82102,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:23.051445,0,82103,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:24.027552,0,82104,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:25.052063,0,82105,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:26.028230,0,82106,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:27.051621,0,82107,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:28.028768,0,82108,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:29.047953,0,82109,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:30.025828,0,82110,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:31.050281,0,82111,0,GPS1_Frame,42.338264166666676,-71.08651,27.4,328114.80061712745,4689442.799991886,4,19,T
2022/10/06/18:48:32.027922,0,82112,0,GPS1_Frame,42.338264166666676,-71.08651,27.4,328114.80061712745,4689442.799991886,4,19,T
2022/10/06/18:48:33.049379,0,82113,0,GPS1_Frame,42.338264166666676,-71.08651,27.4,328114.80061712745,4689442.799991886,4,19,T
2022/10/06/18:48:34.028264,0,82114,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:35.050348,0,82115,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:36.028306,0,82116,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:37.050515,0,82117,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:38.027242,0,82118,0,GPS1_Frame,42.338264166666676,-71.08651,27.4,328114.80061712745,4689442.799991886,4,19,T
2022/10/06/18:48:39.049279,0,82119,0,GPS1_Frame,42.338264166666676,-71.08651,27.4,328114.80061712745,4689442.799991886,4,19,T
2022/10/06/18:48:40.026949,0,82120,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:48:41.050787,0,82121,0,GPS1_Frame,42.338264166666676,-71.08651016666666,27.4,328114.7868866741,4689442.800328799,4,19,T
2022/10/06/18:48:42.027721,0,82122,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:43.051914,0,82123,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:44.024986,0,82124,0,GPS1_Frame,42.338264166666676,-71.08651,27.4,328114.80061712745,4689442.799991886,4,19,T
2022/10/06/18:48:45.049659,0,82125,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:46.026012,0,82126,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:47.046220,0,82127,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:48:48.026226,0,82128,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:49.050150,0,82129,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:48:50.025391,0,82130,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:51.051697,0,82131,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:48:52.026684,0,82132,0,GPS1_Frame,42.338264166666676,-71.08651016666666,27.4,328114.7868866741,4689442.800328799,4,19,T
2022/10/06/18:48:53.051402,0,82133,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:54.026810,0,82134,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:55.051254,0,82135,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:56.026119,0,82136,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:57.049542,0,82137,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:48:58.026268,0,82138,0,GPS1_Frame,42.338264166666676,-71.08651016666666,27.4,328114.7868866741,4689442.800328799,4,19,T
2022/10/06/18:48:59.050128,0,82139,0,GPS1_Frame,42.338264166666676,-71.08651016666666,27.4,328114.7868866741,4689442.800328799,4,19,T
2022/10/06/18:49:00.027638,0,82140,0,GPS1_Frame,42.338264166666676,-71.08651016666666,27.4,328114.7868866741,4689442.800328799,4,19,T
2022/10/06/18:49:01.047511,0,82141,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:49:02.023989,0,82142,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:49:03.050285,0,82143,0,GPS1_Frame,42.338264166666676,-71.08651,27.4,328114.80061712745,4689442.799991886,4,19,T
2022/10/06/18:49:04.026316,0,82144,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:49:05.047699,0,82145,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:49:06.025726,0,82146,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:49:07.050230,0,82147,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:49:08.023659,0,82148,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:49:09.047953,0,82149,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:49:10.023134,0,82150,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:49:11.050284,0,82151,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:49:12.026289,0,82152,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:49:13.050200,0,82153,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:49:14.024392,0,82154,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:49:15.048738,0,82155,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:49:16.025375,0,82156,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:49:17.049573,0,82157,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:49:18.026118,0,82158,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:49:19.048200,0,82159,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:49:20.026438,0,82160,0,GPS1_Frame,42.338264166666676,-71.08651016666666,27.4,328114.7868866741,4689442.800328799,4,19,T
2022/10/06/18:49:21.050366,0,82161,0,GPS1_Frame,42.338264166666676,-71.08651016666666,27.4,328114.7868866741,4689442.800328799,4,19,T
2022/10/06/18:49:22.025703,0,82162,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:49:23.046984,0,82163,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:49:24.023884,0,82164,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:49:25.048495,0,82165,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:49:26.025943,0,82166,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:49:27.051348,0,82167,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:49:28.026209,0,82168,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:49:29.049542,0,82169,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:49:30.028742,0,82170,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:49:31.044741,0,82171,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:49:32.024153,0,82172,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:49:33.047603,0,82173,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:49:34.025597,0,82174,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:49:35.048552,0,82175,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:49:36.027266,0,82176,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:49:37.048291,0,82177,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:49:38.025882,0,82178,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:49:39.048560,0,82179,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:49:40.025171,0,82180,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:49:41.045794,0,82181,0,GPS1_Frame,42.338264166666676,-71.08651016666666,27.4,328114.7868866741,4689442.800328799,4,19,T
2022/10/06/18:49:42.023196,0,82182,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:49:43.050055,0,82183,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:49:44.026337,0,82184,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:49:45.050907,0,82185,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:49:46.024798,0,82186,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:49:47.048456,0,82187,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T
2022/10/06/18:49:48.026642,0,82188,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:49:49.047778,0,82189,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:49:50.024077,0,82190,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:49:51.047408,0,82191,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:49:52.025403,0,82192,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T
2022/10/06/18:49:53.049574,0,82193,0,GPS1_Frame,42.338264166666676,-71.08651016666666,27.4,328114.7868866741,4689442.800328799,4,19,T
2022/10/06/18:49:54.026383,0,82194,0,GPS1_Frame,42.338264166666676,-71.08651,27.4,328114.80061712745,4689442.799991886,4,19,T
2022/10/06/18:49:55.048537,0,82195,0,GPS1_Frame,42.338264166666676,-71.08651,27.4,328114.80061712745,4689442.799991886,4,19,T
