time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.UTM_easting,.UTM_northing,.RTK,.Zone,.Letter
2022/10/06/19:49:32.104739,0,85772,0,GPS1_Frame,42.33862333333333,-71.08874266666666,9.7,327931.847126696,4689487.198421952,5,19,T
2022/10/06/19:49:33.100592,0,85773,0,GPS1_Frame,42.33862333333333,-71.08874349999999,9.7,327931.778474809,4689487.200108323,5,19,T
2022/10/06/19:49:34.103537,0,85774,0,GPS1_Frame,42.3386235,-71.0887445,9.7,327931.6965471547,4689487.220639036,5,19,T
2022/10/06/19:49:35.104635,0,85775,0,GPS1_Frame,42.3386235,-71.0887455,9.7,327931.61416489095,4689487.222662683,5,19,T
2022/10/06/19:49:36.100710,0,85776,0,GPS1_Frame,42.3386235,-71.08874633333333,9.7,327931.5455130063,4689487.224349056,5,19,T
2022/10/06/19:49:37.097259,0,85777,0,GPS1_Frame,42.33862366666667,-71.0887475,9.7,327931.4498549738,4689487.245217047,5,19,T
2022/10/06/19:49:38.102829,0,85778,0,GPS1_Frame,42.33862383333334,-71.08874883333333,9.7,327931.3404665691,4689487.266422315,5,19,T
2022/10/06/19:49:39.100160,0,85779,0,GPS1_Frame,42.338623999999996,-71.08875016666666,9.7,327931.23107816075,4689487.2876275815,5,19,T
2022/10/06/19:49:40.102570,0,85780,0,GPS1_Frame,42.3386245,-71.08875166666667,9.7,327931.10886860057,4689487.346184264,5,19,T
2022/10/06/19:49:41.101043,0,85781,0,GPS1_Frame,42.33862483333334,-71.088753,9.7,327930.9999348076,4689487.3858966045,5,19,T
2022/10/06/19:49:42.099031,0,85782,0,GPS1_Frame,42.338625,-71.08875433333333,9.8,327930.89054640394,4689487.407101877,5,19,T
2022/10/06/19:49:43.101531,0,85783,0,GPS1_Frame,42.338625333333326,-71.08875566666667,9.8,327930.781612613,4689487.446814219,5,19,T
2022/10/06/19:49:44.102920,0,85784,0,GPS1_Frame,42.338625666666665,-71.08875733333333,9.8,327930.64521806804,4689487.487201118,5,19,T
2022/10/06/19:49:45.098607,0,85785,0,GPS1_Frame,42.33862633333333,-71.08875866666668,9.8,327930.53719350277,4689487.563927597,5,19,T
2022/10/06/19:49:46.096222,0,85786,0,GPS1_Frame,42.33862716666666,-71.08876000000001,9.7,327930.4296235569,4689487.659161148,5,19,T
2022/10/06/19:49:47.103031,0,85787,0,GPS1_Frame,42.33862783333334,-71.088761,9.6,327930.3490597508,4689487.7352130795,5,19,T
2022/10/06/19:49:48.100707,0,85788,0,GPS1_Frame,42.338628500000006,-71.088762,9.5,327930.2684959463,4689487.811265009,5,19,T
2022/10/06/19:49:49.099984,0,85789,0,GPS1_Frame,42.338629000000005,-71.08876316666667,9.4,327930.1737471563,4689487.869147152,5,19,T
2022/10/06/19:49:50.101074,0,85790,0,GPS1_Frame,42.33862966666667,-71.0887645,9.4,327930.0657226019,4689487.94587364,5,19,T
2022/10/06/19:49:51.098636,0,85791,0,GPS1_Frame,42.3386305,-71.08876583333334,9.3,327929.9581526662,4689488.041107196,5,19,T
2022/10/06/19:49:52.098134,0,85792,0,GPS1_Frame,42.338631166666666,-71.088767,9.2,327929.86385849427,4689488.11749641,5,19,T
2022/10/06/19:49:53.101780,0,85793,0,GPS1_Frame,42.338632000000004,-71.08876816666665,9.1,327929.77001894126,4689488.2123926915,5,19,T
2022/10/06/19:49:54.099121,0,85794,0,GPS1_Frame,42.33863266666667,-71.08876933333333,9.1,327929.67572477146,4689488.28878191,5,19,T
2022/10/06/19:49:55.096200,0,85795,0,GPS1_Frame,42.338633333333334,-71.0887705,9.0,327929.58143060794,4689488.365171126,5,19,T
